Geography,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total!!Total population,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)
1400000US06001400100,Census Tract 4001; Alameda County; California,3269,452,50.8,1.4
1400000US06073020810,Census Tract 208.10; San Diego County; California,5074,523,44.4,4.0
1400000US06073020811,Census Tract 208.11; San Diego County; California,5903,945,42.9,6.0
1400000US06073020812,Census Tract 208.12; San Diego County; California,2069,838,40.3,6.2
1400000US06073020813,Census Tract 208.13; San Diego County; California,5753,1790,31.5,6.6
1400000US06073020902,Census Tract 209.02; San Diego County; California,2504,510,37.9,10.6
1400000US06073020903,Census Tract 209.03; San Diego County; California,2955,486,59.3,5.2
1400000US06073020904,Census Tract 209.04; San Diego County; California,2513,444,57.7,6.6
1400000US06073021001,Census Tract 210.01; San Diego County; California,1937,381,63.4,4.4
1400000US06073021002,Census Tract 210.02; San Diego County; California,1794,616,55.5,8.3
1400000US06073021101,Census Tract 211.01; San Diego County; California,5619,999,42.5,8.2
1400000US06073021102,Census Tract 211.02; San Diego County; California,2809,706,54.6,11.4
1400000US06073021202,Census Tract 212.02; San Diego County; California,2952,466,53.8,9.4
1400000US06073021204,Census Tract 212.04; San Diego County; California,6057,718,43.4,4.5
1400000US06073021205,Census Tract 212.05; San Diego County; California,7302,828,38.2,4.8
1400000US06073021206,Census Tract 212.06; San Diego County; California,3602,661,44.9,4.4
1400000US06073021302,Census Tract 213.02; San Diego County; California,6743,1193,41.3,5.3
1400000US06073021304,Census Tract 213.04; San Diego County; California,3229,807,42.3,17.6
1400000US06073021305,Census Tract 213.05; San Diego County; California,3485,420,53.7,7.8
1400000US06073021306,Census Tract 213.06; San Diego County; California,5496,611,44.8,2.6
1400000US06073021401,Census Tract 214.01; San Diego County; California,4390,484,29.8,2.5
1400000US06073021402,Census Tract 214.02; San Diego County; California,2594,1085,39.3,6.4
1400000US06073021501,Census Tract 215.01; San Diego County; California,3855,889,46.3,4.2
1400000US06073021502,Census Tract 215.02; San Diego County; California,8764,839,38.0,4.5
1400000US06073021600,Census Tract 216; San Diego County; California,2732,400,27.5,1.6
1400000US06073021800,Census Tract 218; San Diego County; California,1871,209,52.8,3.1
1400000US06073021900,Census Tract 219; San Diego County; California,3224,502,31.0,2.9
1400000US06073022000,Census Tract 220; San Diego County; California,4336,666,35.6,6.2
1400000US06073022101,Census Tract 221.01; San Diego County; California,2214,297,47.0,6.4
1400000US06073022102,Census Tract 221.02; San Diego County; California,7920,1002,35.4,3.0
1400000US06073990100,Census Tract 9901; San Diego County; California,0,13,-,**
1400000US06075010101,Census Tract 101.01; San Francisco County; California,2121,298,37.5,0.5
1400000US06075010102,Census Tract 101.02; San Francisco County; California,1908,347,43.2,7.8
1400000US06075010201,Census Tract 102.01; San Francisco County; California,2473,522,38.9,7.6
1400000US06075010202,Census Tract 102.02; San Francisco County; California,1859,332,38.6,9.3
1400000US06075010300,Census Tract 103; San Francisco County; California,3925,534,45.8,5.6
1400000US06075010401,Census Tract 104.01; San Francisco County; California,2437,736,36.6,3.9
1400000US06075010402,Census Tract 104.02; San Francisco County; California,2077,300,46.7,10.3
1400000US06075010500,Census Tract 105; San Francisco County; California,3108,465,43.0,8.5
1400000US06075010600,Census Tract 106; San Francisco County; California,3197,432,41.4,5.8
1400000US06075010701,Census Tract 107.01; San Francisco County; California,3424,660,61.4,5.0
1400000US06075010702,Census Tract 107.02; San Francisco County; California,1458,303,38.6,8.3
1400000US06075010800,Census Tract 108; San Francisco County; California,4613,555,37.8,4.1
1400000US06075010901,Census Tract 109.01; San Francisco County; California,2007,370,34.4,5.6
1400000US06075010902,Census Tract 109.02; San Francisco County; California,2502,534,33.1,4.3
1400000US06075011001,Census Tract 110.01; San Francisco County; California,2618,406,38.8,3.8
1400000US06075011002,Census Tract 110.02; San Francisco County; California,1907,450,44.1,8.2
1400000US06075011101,Census Tract 111.01; San Francisco County; California,2502,419,40.1,6.6
1400000US06075011102,Census Tract 111.02; San Francisco County; California,2218,472,39.3,4.5
1400000US06075011200,Census Tract 112; San Francisco County; California,2865,399,40.1,2.5
1400000US06075011300,Census Tract 113; San Francisco County; California,2862,553,48.2,6.5
1400000US06075011700,Census Tract 117; San Francisco County; California,2056,276,41.8,7.5
1400000US06075011800,Census Tract 118; San Francisco County; California,1695,298,48.5,5.0
1400000US06075011901,Census Tract 119.01; San Francisco County; California,2387,326,36.4,3.7
1400000US06075011902,Census Tract 119.02; San Francisco County; California,2650,640,42.1,9.4
1400000US06075012001,Census Tract 120.01; San Francisco County; California,1912,512,37.0,6.5
1400000US06075012002,Census Tract 120.02; San Francisco County; California,2102,314,34.9,3.5
1400000US06075012100,Census Tract 121; San Francisco County; California,3513,431,33.4,2.8
1400000US06075012202,Census Tract 122.02; San Francisco County; California,2978,305,48.0,3.3
1400000US06075012203,Census Tract 122.03; San Francisco County; California,1763,485,39.1,4.3
1400000US06075012204,Census Tract 122.04; San Francisco County; California,2720,455,35.4,2.0
1400000US06075012301,Census Tract 123.01; San Francisco County; California,1901,310,48.4,3.5
1400000US06075012302,Census Tract 123.02; San Francisco County; California,2614,244,37.4,3.0
1400000US06075012403,Census Tract 124.03; San Francisco County; California,2431,624,46.0,4.7
1400000US06075012404,Census Tract 124.04; San Francisco County; California,2586,485,50.4,7.3
1400000US06075012405,Census Tract 124.05; San Francisco County; California,3921,530,31.9,1.6
1400000US06075012406,Census Tract 124.06; San Francisco County; California,1533,234,46.2,12.6
1400000US06075012502,Census Tract 125.02; San Francisco County; California,4629,907,46.1,12.3
1400000US06075012503,Census Tract 125.03; San Francisco County; California,4368,798,42.3,6.2
1400000US06075012504,Census Tract 125.04; San Francisco County; California,612,245,61.4,15.8
1400000US06075012601,Census Tract 126.01; San Francisco County; California,2164,276,34.8,3.0
1400000US06075012602,Census Tract 126.02; San Francisco County; California,2768,420,34.3,3.7
1400000US06075012700,Census Tract 127; San Francisco County; California,4021,571,33.1,3.4
1400000US06075012801,Census Tract 128.01; San Francisco County; California,2591,539,38.2,3.8
1400000US06075012802,Census Tract 128.02; San Francisco County; California,2027,443,30.5,3.0
1400000US06075012901,Census Tract 129.01; San Francisco County; California,2816,543,33.2,1.6
1400000US06075012902,Census Tract 129.02; San Francisco County; California,3322,318,32.2,2.1
1400000US06075013001,Census Tract 130.01; San Francisco County; California,1592,256,32.8,1.9
1400000US06075013002,Census Tract 130.02; San Francisco County; California,2609,623,35.0,3.1
1400000US06075013101,Census Tract 131.01; San Francisco County; California,4269,584,33.3,2.1
1400000US06075013102,Census Tract 131.02; San Francisco County; California,2731,413,37.7,1.5
1400000US06075013200,Census Tract 132; San Francisco County; California,3931,655,51.1,8.2
1400000US06075013300,Census Tract 133; San Francisco County; California,4284,483,44.7,5.1
1400000US06075013401,Census Tract 134.01; San Francisco County; California,1370,318,35.5,5.7
1400000US06075013402,Census Tract 134.02; San Francisco County; California,2107,355,45.1,10.2
1400000US06075013500,Census Tract 135; San Francisco County; California,2471,270,37.4,1.1
1400000US06075015100,Census Tract 151; San Francisco County; California,2799,423,42.4,7.2
1400000US06075015201,Census Tract 152.01; San Francisco County; California,1612,209,38.2,1.9
1400000US06075015202,Census Tract 152.02; San Francisco County; California,2212,712,35.7,5.1
1400000US06075015300,Census Tract 153; San Francisco County; California,2293,406,33.8,2.7
1400000US06075015401,Census Tract 154.01; San Francisco County; California,3338,477,34.3,4.6
1400000US06075015402,Census Tract 154.02; San Francisco County; California,2848,590,36.6,3.2
1400000US06075015500,Census Tract 155; San Francisco County; California,3708,568,51.5,14.6
1400000US06075015600,Census Tract 156; San Francisco County; California,2988,431,40.3,7.0
1400000US06075015701,Census Tract 157.01; San Francisco County; California,4926,649,24.5,3.3
1400000US06075015702,Census Tract 157.02; San Francisco County; California,3273,795,35.5,2.2
1400000US06075015801,Census Tract 158.01; San Francisco County; California,3394,481,36.8,4.5
1400000US06075015802,Census Tract 158.02; San Francisco County; California,3340,550,32.6,0.8
1400000US06075015900,Census Tract 159; San Francisco County; California,5245,806,38.8,2.3
1400000US06075016000,Census Tract 160; San Francisco County; California,2460,506,48.8,9.0
1400000US06075016101,Census Tract 161.01; San Francisco County; California,2355,569,58.5,7.3
1400000US06075016102,Census Tract 161.02; San Francisco County; California,2618,568,49.8,7.1
1400000US06075016200,Census Tract 162; San Francisco County; California,3230,657,34.8,2.6
1400000US06075016300,Census Tract 163; San Francisco County; California,3942,502,36.7,4.1
1400000US06075016400,Census Tract 164; San Francisco County; California,4162,642,33.5,1.2
1400000US06075016500,Census Tract 165; San Francisco County; California,5317,700,34.1,3.1
1400000US06075016601,Census Tract 166.01; San Francisco County; California,3202,580,35.2,1.3
1400000US06075016602,Census Tract 166.02; San Francisco County; California,2098,449,33.2,1.5
1400000US06075016700,Census Tract 167; San Francisco County; California,5277,789,34.3,1.1
1400000US06075016801,Census Tract 168.01; San Francisco County; California,3898,449,35.6,2.3
1400000US06075016802,Census Tract 168.02; San Francisco County; California,3807,637,32.8,1.7
1400000US06075016900,Census Tract 169; San Francisco County; California,3061,382,37.7,2.1
1400000US06075017000,Census Tract 170; San Francisco County; California,4262,604,43.4,5.1
1400000US06075017101,Census Tract 171.01; San Francisco County; California,4250,579,34.3,2.4
1400000US06075017102,Census Tract 171.02; San Francisco County; California,3646,368,36.2,3.1
1400000US06075017602,Census Tract 176.02; San Francisco County; California,3199,839,40.7,3.0
1400000US06075017603,Census Tract 176.03; San Francisco County; California,4815,639,36.8,3.9
1400000US06075017604,Census Tract 176.04; San Francisco County; California,3146,495,32.9,2.9
1400000US06075017700,Census Tract 177; San Francisco County; California,2080,293,35.8,1.1
1400000US06075017801,Census Tract 178.01; San Francisco County; California,3582,401,68.3,4.1
1400000US06075017803,Census Tract 178.03; San Francisco County; California,2523,499,33.6,3.0
1400000US06075017804,Census Tract 178.04; San Francisco County; California,3482,634,36.0,3.5
1400000US06075017903,Census Tract 179.03; San Francisco County; California,3136,466,27.7,3.3
1400000US06075018000,Census Tract 180; San Francisco County; California,3774,599,34.2,3.5
1400000US06075020101,Census Tract 201.01; San Francisco County; California,3924,587,35.7,5.8
1400000US06075020102,Census Tract 201.02; San Francisco County; California,3310,964,47.4,2.2
1400000US06075020201,Census Tract 202.01; San Francisco County; California,1920,329,39.4,2.8
1400000US06075020202,Census Tract 202.02; San Francisco County; California,4113,517,33.2,1.7
1400000US06075020300,Census Tract 203; San Francisco County; California,3474,643,40.2,3.5
1400000US06075020401,Census Tract 204.01; San Francisco County; California,3248,350,43.2,6.6
1400000US06075020402,Census Tract 204.02; San Francisco County; California,4169,420,44.8,7.7
1400000US06075020500,Census Tract 205; San Francisco County; California,2970,405,42.7,2.7
1400000US06075020601,Census Tract 206.01; San Francisco County; California,3044,510,46.8,5.4
1400000US06075020602,Census Tract 206.02; San Francisco County; California,2564,469,54.6,4.1
1400000US06075020701,Census Tract 207.01; San Francisco County; California,3139,674,38.6,4.0
1400000US06075020702,Census Tract 207.02; San Francisco County; California,2248,261,37.2,2.3
1400000US06075020801,Census Tract 208.01; San Francisco County; California,3743,620,35.2,1.6
1400000US06075020802,Census Tract 208.02; San Francisco County; California,2523,366,44.5,5.0
1400000US06075020900,Census Tract 209; San Francisco County; California,4098,726,37.2,1.7
1400000US06075021000,Census Tract 210; San Francisco County; California,3820,634,41.4,2.1
1400000US06075021100,Census Tract 211; San Francisco County; California,3959,370,37.9,2.1
1400000US06075021200,Census Tract 212; San Francisco County; California,2984,320,38.5,1.7
1400000US06075021300,Census Tract 213; San Francisco County; California,2663,446,42.7,2.6
1400000US06075021400,Census Tract 214; San Francisco County; California,3500,379,40.9,3.3
1400000US06075021500,Census Tract 215; San Francisco County; California,5559,751,39.2,2.6
1400000US06075021600,Census Tract 216; San Francisco County; California,4414,613,40.3,4.9
1400000US06075021700,Census Tract 217; San Francisco County; California,4602,628,43.7,2.8
1400000US06075021800,Census Tract 218; San Francisco County; California,4121,446,38.5,1.8
1400000US06075022600,Census Tract 226; San Francisco County; California,3849,438,33.2,1.2
1400000US06075022702,Census Tract 227.02; San Francisco County; California,2152,363,33.1,3.3
1400000US06075022704,Census Tract 227.04; San Francisco County; California,3716,433,36.2,1.3
1400000US06075022801,Census Tract 228.01; San Francisco County; California,4950,822,39.2,2.5
1400000US06075022802,Census Tract 228.02; San Francisco County; California,2369,259,41.4,2.2
1400000US06075022803,Census Tract 228.03; San Francisco County; California,4430,733,35.8,1.5
1400000US06075022901,Census Tract 229.01; San Francisco County; California,4386,589,35.8,2.6
1400000US06075022902,Census Tract 229.02; San Francisco County; California,2096,226,38.2,2.6
1400000US06075022903,Census Tract 229.03; San Francisco County; California,2850,499,36.0,2.1
1400000US06075023001,Census Tract 230.01; San Francisco County; California,5719,957,37.9,3.2
1400000US06075023003,Census Tract 230.03; San Francisco County; California,4157,516,40.7,2.1
1400000US06075023102,Census Tract 231.02; San Francisco County; California,3569,629,34.3,1.8
1400000US06075023103,Census Tract 231.03; San Francisco County; California,4456,587,26.2,6.4
1400000US06075023200,Census Tract 232; San Francisco County; California,4222,1101,41.5,7.0
1400000US06075023300,Census Tract 233; San Francisco County; California,3950,413,44.3,4.0
1400000US06075023400,Census Tract 234; San Francisco County; California,4039,791,34.3,5.1
1400000US06075025100,Census Tract 251; San Francisco County; California,3408,531,39.1,1.7
1400000US06075025200,Census Tract 252; San Francisco County; California,5457,773,46.9,3.5
1400000US06075025300,Census Tract 253; San Francisco County; California,4545,896,37.4,3.6
1400000US06075025401,Census Tract 254.01; San Francisco County; California,3819,743,38.1,2.4
1400000US06075025402,Census Tract 254.02; San Francisco County; California,3294,753,46.5,2.9
1400000US06075025403,Census Tract 254.03; San Francisco County; California,4244,802,41.0,2.4
1400000US06075025501,Census Tract 255.01; San Francisco County; California,4397,1252,40.7,5.8
1400000US06075025502,Census Tract 255.02; San Francisco County; California,3846,522,42.5,5.8
1400000US06075025600,Census Tract 256; San Francisco County; California,5027,660,41.6,2.7
1400000US06075025701,Census Tract 257.01; San Francisco County; California,5331,905,44.0,4.9
1400000US06075025702,Census Tract 257.02; San Francisco County; California,4153,563,51.4,5.1
1400000US06075025800,Census Tract 258; San Francisco County; California,2129,411,41.8,3.9
1400000US06075025900,Census Tract 259; San Francisco County; California,4128,571,45.5,4.8
1400000US06075026001,Census Tract 260.01; San Francisco County; California,6416,828,37.8,1.8
1400000US06075026002,Census Tract 260.02; San Francisco County; California,3683,422,44.8,3.1
1400000US06075026003,Census Tract 260.03; San Francisco County; California,4920,634,40.9,5.9
1400000US06075026004,Census Tract 260.04; San Francisco County; California,3839,363,42.2,2.7
1400000US06075026100,Census Tract 261; San Francisco County; California,6879,865,45.3,1.9
1400000US06075026201,Census Tract 262.01; San Francisco County; California,3651,417,44.3,3.5
1400000US06075026202,Census Tract 262.02; San Francisco County; California,3863,673,46.8,2.8
1400000US06075026301,Census Tract 263.01; San Francisco County; California,5345,775,50.5,4.9
1400000US06075026302,Census Tract 263.02; San Francisco County; California,5004,539,46.3,8.8
1400000US06075026303,Census Tract 263.03; San Francisco County; California,4612,624,44.2,4.7
1400000US06075026401,Census Tract 264.01; San Francisco County; California,3842,509,41.1,2.7
1400000US06075026402,Census Tract 264.02; San Francisco County; California,4755,1287,43.4,5.6
1400000US06075026403,Census Tract 264.03; San Francisco County; California,3581,599,54.1,4.7
1400000US06075026404,Census Tract 264.04; San Francisco County; California,2507,366,42.3,3.7
1400000US06075030101,Census Tract 301.01; San Francisco County; California,4792,691,32.6,2.2
1400000US06075030102,Census Tract 301.02; San Francisco County; California,4726,433,35.8,2.0
1400000US06075030201,Census Tract 302.01; San Francisco County; California,4131,635,39.0,3.0
1400000US06075030202,Census Tract 302.02; San Francisco County; California,4209,587,37.7,3.5
1400000US06075030301,Census Tract 303.01; San Francisco County; California,6129,807,43.7,6.6
1400000US06075030302,Census Tract 303.02; San Francisco County; California,3742,513,41.6,5.8
1400000US06075030400,Census Tract 304; San Francisco County; California,5262,510,55.1,7.1
1400000US06075030500,Census Tract 305; San Francisco County; California,3787,395,52.5,4.0
1400000US06075030600,Census Tract 306; San Francisco County; California,2348,302,45.4,3.7
1400000US06075030700,Census Tract 307; San Francisco County; California,6910,631,46.5,1.9
1400000US06075030800,Census Tract 308; San Francisco County; California,5907,1192,43.7,6.6
1400000US06075030900,Census Tract 309; San Francisco County; California,6627,974,47.5,4.2
1400000US06075031000,Census Tract 310; San Francisco County; California,4140,626,46.9,6.9
1400000US06075031100,Census Tract 311; San Francisco County; California,6286,788,44.9,2.8
1400000US06075031201,Census Tract 312.01; San Francisco County; California,6341,1247,41.8,4.6
1400000US06075031202,Census Tract 312.02; San Francisco County; California,2804,393,40.9,3.5
1400000US06075031301,Census Tract 313.01; San Francisco County; California,3868,545,44.1,11.4
1400000US06075031302,Census Tract 313.02; San Francisco County; California,4536,658,45.1,6.8
1400000US06075031401,Census Tract 314.01; San Francisco County; California,2533,561,42.1,5.6
1400000US06075031402,Census Tract 314.02; San Francisco County; California,4545,641,40.7,2.4
1400000US06075032601,Census Tract 326.01; San Francisco County; California,4915,668,38.4,1.6
1400000US06075032602,Census Tract 326.02; San Francisco County; California,4344,593,42.8,3.4
1400000US06075032700,Census Tract 327; San Francisco County; California,6721,992,45.8,5.2
1400000US06075032801,Census Tract 328.01; San Francisco County; California,3831,758,50.2,4.1
1400000US06075032802,Census Tract 328.02; San Francisco County; California,4454,759,47.6,5.1
1400000US06075032901,Census Tract 329.01; San Francisco County; California,5064,653,45.4,4.3
1400000US06075032902,Census Tract 329.02; San Francisco County; California,3907,795,53.1,7.3
1400000US06075033001,Census Tract 330.01; San Francisco County; California,4075,713,45.2,3.9
1400000US06075033002,Census Tract 330.02; San Francisco County; California,4288,565,42.7,6.1
1400000US06075033100,Census Tract 331; San Francisco County; California,3980,555,46.9,2.9
1400000US06075033201,Census Tract 332.01; San Francisco County; California,3730,367,19.9,0.8
1400000US06075033203,Census Tract 332.03; San Francisco County; California,3313,440,35.8,7.0
1400000US06075033204,Census Tract 332.04; San Francisco County; California,3620,843,40.3,5.5
1400000US06075035101,Census Tract 351.01; San Francisco County; California,4018,826,40.9,5.9
1400000US06075035102,Census Tract 351.02; San Francisco County; California,4458,644,39.4,5.3
1400000US06075035201,Census Tract 352.01; San Francisco County; California,5305,779,46.2,4.5
1400000US06075035202,Census Tract 352.02; San Francisco County; California,4878,701,38.4,2.2
1400000US06075035300,Census Tract 353; San Francisco County; California,7157,856,41.7,6.3
1400000US06075035400,Census Tract 354; San Francisco County; California,7431,1433,37.9,5.7
1400000US06075040100,Census Tract 401; San Francisco County; California,4228,779,37.7,3.1
1400000US06075040200,Census Tract 402; San Francisco County; California,5464,770,43.6,5.4
1400000US06075042601,Census Tract 426.01; San Francisco County; California,4126,708,41.9,5.7
1400000US06075042602,Census Tract 426.02; San Francisco County; California,2842,410,40.3,3.2
1400000US06075042700,Census Tract 427; San Francisco County; California,5229,574,47.0,3.9
1400000US06075042800,Census Tract 428; San Francisco County; California,2348,283,47.8,2.5
1400000US06075045100,Census Tract 451; San Francisco County; California,4838,829,36.3,5.4
1400000US06075045201,Census Tract 452.01; San Francisco County; California,3104,339,42.9,4.4
1400000US06075045202,Census Tract 452.02; San Francisco County; California,3358,836,34.5,1.1
1400000US06075047600,Census Tract 476; San Francisco County; California,5121,791,43.2,5.4
1400000US06075047701,Census Tract 477.01; San Francisco County; California,4848,543,38.0,3.4
1400000US06075047702,Census Tract 477.02; San Francisco County; California,3654,458,45.3,7.4
1400000US06075047801,Census Tract 478.01; San Francisco County; California,4613,437,41.7,5.1
1400000US06075047802,Census Tract 478.02; San Francisco County; California,3664,491,44.2,4.3
1400000US06075047902,Census Tract 479.02; San Francisco County; California,3350,451,45.4,5.1
1400000US06075047903,Census Tract 479.03; San Francisco County; California,3981,674,41.7,5.9
1400000US06075047904,Census Tract 479.04; San Francisco County; California,3145,609,41.8,5.2
1400000US06075060100,Census Tract 601; San Francisco County; California,3952,683,34.1,3.3
1400000US06075060400,Census Tract 604; San Francisco County; California,1866,360,38.9,5.0
1400000US06075060502,Census Tract 605.02; San Francisco County; California,3361,571,31.1,3.0
1400000US06075060701,Census Tract 607.01; San Francisco County; California,7879,956,32.6,1.4
1400000US06075060702,Census Tract 607.02; San Francisco County; California,1945,329,37.3,3.2
1400000US06075060703,Census Tract 607.03; San Francisco County; California,6256,1384,33.6,2.1
1400000US06075061000,Census Tract 610; San Francisco County; California,4890,572,37.6,1.9
1400000US06075061101,Census Tract 611.01; San Francisco County; California,1861,510,51.2,8.1
1400000US06075061102,Census Tract 611.02; San Francisco County; California,2393,304,47.9,12.2
1400000US06075061200,Census Tract 612; San Francisco County; California,4006,808,42.9,5.6
1400000US06075061401,Census Tract 614.01; San Francisco County; California,2989,491,41.6,6.6
1400000US06075061402,Census Tract 614.02; San Francisco County; California,2331,423,35.3,3.5
1400000US06075061501,Census Tract 615.01; San Francisco County; California,1656,683,46.8,10.6
1400000US06075061502,Census Tract 615.02; San Francisco County; California,1901,511,40.4,9.1
1400000US06075061503,Census Tract 615.03; San Francisco County; California,3205,698,31.4,1.5
1400000US06075061504,Census Tract 615.04; San Francisco County; California,1567,662,30.0,3.7
1400000US06075061505,Census Tract 615.05; San Francisco County; California,1061,201,35.4,4.3
1400000US06075061506,Census Tract 615.06; San Francisco County; California,4541,923,35.0,2.1
1400000US06075061507,Census Tract 615.07; San Francisco County; California,1772,416,28.0,2.5
1400000US06075061508,Census Tract 615.08; San Francisco County; California,2222,299,52.9,18.5
1400000US06075980200,Census Tract 9802; San Francisco County; California,186,6,76.9,2.4
1400000US06075980300,Census Tract 9803; San Francisco County; California,38,23,39.3,2.7
1400000US06075980401,Census Tract 9804.01; San Francisco County; California,0,13,-,**
1400000US06075980501,Census Tract 9805.01; San Francisco County; California,129,68,82.3,2.4
1400000US06075980600,Census Tract 9806; San Francisco County; California,1172,164,31.7,1.3
1400000US06075980900,Census Tract 9809; San Francisco County; California,315,119,32.6,11.1
1400000US06075990100,Census Tract 9901; San Francisco County; California,0,13,-,**
1400000US06075990200,Census Tract 9902; San Francisco County; California,0,13,-,**
1400000US06077000101,Census Tract 1.01; San Joaquin County; California,1649,342,33.3,4.6
1400000US06077000102,Census Tract 1.02; San Joaquin County; California,2013,380,44.2,4.6
1400000US06077000300,Census Tract 3; San Joaquin County; California,2298,410,30.5,3.6
1400000US06077000401,Census Tract 4.01; San Joaquin County; California,2856,338,34.8,6.9
1400000US06077000402,Census Tract 4.02; San Joaquin County; California,4373,845,34.1,4.4
1400000US06077000500,Census Tract 5; San Joaquin County; California,2496,470,39.7,6.9
1400000US06077000600,Census Tract 6; San Joaquin County; California,2171,385,32.4,6.1
1400000US06077000700,Census Tract 7; San Joaquin County; California,5284,726,31.8,7.1
1400000US06077000802,Census Tract 8.02; San Joaquin County; California,1951,549,26.7,11.4
1400000US06077000803,Census Tract 8.03; San Joaquin County; California,5845,1117,31.2,3.7
1400000US06077000900,Census Tract 9; San Joaquin County; California,5566,923,32.0,4.2
1400000US06077001000,Census Tract 10; San Joaquin County; California,5346,658,35.4,3.1
1400000US06077001101,Census Tract 11.01; San Joaquin County; California,5153,731,36.6,6.0
1400000US06077001102,Census Tract 11.02; San Joaquin County; California,5356,947,34.8,4.2
1400000US06077001200,Census Tract 12; San Joaquin County; California,5842,494,27.9,3.9
1400000US06077001300,Census Tract 13; San Joaquin County; California,5745,758,33.4,2.6
1400000US06077001400,Census Tract 14; San Joaquin County; California,4636,550,36.9,3.7
1400000US06077001501,Census Tract 15.01; San Joaquin County; California,6290,1743,28.5,4.3
1400000US06077001502,Census Tract 15.02; San Joaquin County; California,3963,851,31.0,5.6
1400000US06077001600,Census Tract 16; San Joaquin County; California,2494,522,24.9,2.2
1400000US06077001700,Census Tract 17; San Joaquin County; California,4245,843,27.6,4.9
1400000US06077001800,Census Tract 18; San Joaquin County; California,4355,813,30.7,4.6
1400000US06077001900,Census Tract 19; San Joaquin County; California,5577,930,31.5,3.0
1400000US06077002000,Census Tract 20; San Joaquin County; California,3674,644,30.3,2.4
1400000US06077002100,Census Tract 21; San Joaquin County; California,5838,851,30.4,5.7
1400000US06077002201,Census Tract 22.01; San Joaquin County; California,3564,697,24.4,4.0
1400000US06077002202,Census Tract 22.02; San Joaquin County; California,5494,585,27.3,3.6
1400000US06077002300,Census Tract 23; San Joaquin County; California,4560,1122,30.4,4.6
1400000US06077002401,Census Tract 24.01; San Joaquin County; California,5485,973,26.8,4.7
1400000US06077002402,Census Tract 24.02; San Joaquin County; California,2047,374,31.2,4.7
1400000US06077002503,Census Tract 25.03; San Joaquin County; California,2300,301,25.2,3.1
1400000US06077002504,Census Tract 25.04; San Joaquin County; California,4396,624,31.3,2.7
1400000US06077002701,Census Tract 27.01; San Joaquin County; California,6362,1083,33.9,4.0
1400000US06077002702,Census Tract 27.02; San Joaquin County; California,3762,725,32.8,5.8
1400000US06077002800,Census Tract 28; San Joaquin County; California,6262,712,31.2,2.2
1400000US06077003106,Census Tract 31.06; San Joaquin County; California,4203,524,35.9,5.6
1400000US06077003108,Census Tract 31.08; San Joaquin County; California,5196,1064,34.3,1.9
1400000US06077003109,Census Tract 31.09; San Joaquin County; California,5210,497,36.5,2.5
1400000US06077003110,Census Tract 31.10; San Joaquin County; California,3988,613,36.3,2.8
1400000US06077003111,Census Tract 31.11; San Joaquin County; California,4828,602,34.7,9.3
1400000US06077003112,Census Tract 31.12; San Joaquin County; California,3306,520,41.1,5.9
1400000US06077003115,Census Tract 31.15; San Joaquin County; California,4348,932,27.3,2.9
1400000US06077003116,Census Tract 31.16; San Joaquin County; California,3058,764,33.3,6.6
1400000US06077003117,Census Tract 31.17; San Joaquin County; California,3701,580,40.1,11.8
1400000US06077003118,Census Tract 31.18; San Joaquin County; California,3112,468,44.7,10.3
1400000US06077003119,Census Tract 31.19; San Joaquin County; California,2959,452,38.1,4.8
1400000US06077003203,Census Tract 32.03; San Joaquin County; California,3861,371,41.8,5.6
1400000US06077003205,Census Tract 32.05; San Joaquin County; California,4290,625,35.5,5.2
1400000US06077003209,Census Tract 32.09; San Joaquin County; California,5159,1278,33.3,3.2
1400000US06077003210,Census Tract 32.10; San Joaquin County; California,2692,406,42.7,7.9
1400000US06077003213,Census Tract 32.13; San Joaquin County; California,5216,551,38.2,2.4
1400000US06077003214,Census Tract 32.14; San Joaquin County; California,2888,209,41.0,5.5
1400000US06077003215,Census Tract 32.15; San Joaquin County; California,4206,629,31.7,1.8
1400000US06077003216,Census Tract 32.16; San Joaquin County; California,3785,568,32.6,2.7
1400000US06077003217,Census Tract 32.17; San Joaquin County; California,3584,547,26.9,1.4
1400000US06077003218,Census Tract 32.18; San Joaquin County; California,3363,299,31.6,10.0
1400000US06077003219,Census Tract 32.19; San Joaquin County; California,10755,1345,37.2,4.3
1400000US06077003305,Census Tract 33.05; San Joaquin County; California,4918,886,34.0,5.3
1400000US06077003306,Census Tract 33.06; San Joaquin County; California,5062,838,28.8,3.5
1400000US06077003307,Census Tract 33.07; San Joaquin County; California,4837,566,27.4,2.7
1400000US06077003308,Census Tract 33.08; San Joaquin County; California,1631,251,29.2,3.7
1400000US06077003310,Census Tract 33.10; San Joaquin County; California,4710,773,31.4,1.4
1400000US06077003311,Census Tract 33.11; San Joaquin County; California,4029,490,31.8,3.6
1400000US06077003312,Census Tract 33.12; San Joaquin County; California,3095,319,29.5,3.8
1400000US06077003313,Census Tract 33.13; San Joaquin County; California,3033,362,30.6,2.7
1400000US06077003403,Census Tract 34.03; San Joaquin County; California,5287,879,31.2,5.3
1400000US06077003404,Census Tract 34.04; San Joaquin County; California,7182,1024,32.9,6.7
